name,email,password,role,roll_no,department
Student 1,student1@citchennai.net,password123,STUDENT,23EEE001,EEE
Student 2,student2@citchennai.net,password123,STUDENT,21CIVIL002,CIVIL
Student 3,student3@citchennai.net,password123,STUDENT,24EEE003,EEE
Student 4,student4@citchennai.net,password123,STUDENT,24CSE004,CSE
Student 5,student5@citchennai.net,password123,STUDENT,21EEE005,EEE
Student 6,student6@citchennai.net,password123,STUDENT,24BME006,BME
Student 7,student7@citchennai.net,password123,STUDENT,21EEE007,EEE
Student 8,student8@citchennai.net,password123,STUDENT,22EEE008,EEE
Student 9,student9@citchennai.net,password123,STUDENT,21IT009,IT
Student 10,student10@citchennai.net,password123,STUDENT,23ECE010,ECE
Student 11,student11@citchennai.net,password123,STUDENT,22EEE011,EEE
Student 12,student12@citchennai.net,password123,STUDENT,24CSE012,CSE
Student 13,student13@citchennai.net,password123,STUDENT,21EEE013,EEE
Student 14,student14@citchennai.net,password123,STUDENT,22CSE014,CSE
Student 15,student15@citchennai.net,password123,STUDENT,22MECH015,MECH
Student 16,student16@citchennai.net,password123,STUDENT,24CSE016,CSE
Student 17,student17@citchennai.net,password123,STUDENT,21AI-DS017,AI-DS
Student 18,student18@citchennai.net,password123,STUDENT,22AI-DS018,AI-DS
Student 19,student19@citchennai.net,password123,STUDENT,22EEE019,EEE
Student 20,student20@citchennai.net,password123,STUDENT,22IT020,IT
Student 21,student21@citchennai.net,password123,STUDENT,24ECE021,ECE
Student 22,student22@citchennai.net,password123,STUDENT,23MECH022,MECH
Student 23,student23@citchennai.net,password123,STUDENT,22IT023,IT
Student 24,student24@citchennai.net,password123,STUDENT,22IT024,IT
Student 25,student25@citchennai.net,password123,STUDENT,21CSE025,CSE
Student 26,student26@citchennai.net,password123,STUDENT,23CSE026,CSE
Student 27,student27@citchennai.net,password123,STUDENT,21CIVIL027,CIVIL
Student 28,student28@citchennai.net,password123,STUDENT,23CIVIL028,CIVIL
Student 29,student29@citchennai.net,password123,STUDENT,22EEE029,EEE
Student 30,student30@citchennai.net,password123,STUDENT,24CIVIL030,CIVIL
Student 31,student31@citchennai.net,password123,STUDENT,23EEE031,EEE
Student 32,student32@citchennai.net,password123,STUDENT,22AI-DS032,AI-DS
Student 33,student33@citchennai.net,password123,STUDENT,24AI-DS033,AI-DS
Student 34,student34@citchennai.net,password123,STUDENT,23AI-DS034,AI-DS
Student 35,student35@citchennai.net,password123,STUDENT,24CIVIL035,CIVIL
Student 36,student36@citchennai.net,password123,STUDENT,21BME036,BME
Student 37,student37@citchennai.net,password123,STUDENT,23MECH037,MECH
Student 38,student38@citchennai.net,password123,STUDENT,22MECH038,MECH
Student 39,student39@citchennai.net,password123,STUDENT,21BME039,BME
Student 40,student40@citchennai.net,password123,STUDENT,21BME040,BME
Student 41,student41@citchennai.net,password123,STUDENT,23CIVIL041,CIVIL
Student 42,student42@citchennai.net,password123,STUDENT,22ECE042,ECE
Student 43,student43@citchennai.net,password123,STUDENT,23CIVIL043,CIVIL
Student 44,student44@citchennai.net,password123,STUDENT,23IT044,IT
Student 45,student45@citchennai.net,password123,STUDENT,24CSE045,CSE
Student 46,student46@citchennai.net,password123,STUDENT,24CSE046,CSE
Student 47,student47@citchennai.net,password123,STUDENT,24MECH047,MECH
Student 48,student48@citchennai.net,password123,STUDENT,23BME048,BME
Student 49,student49@citchennai.net,password123,STUDENT,23ECE049,ECE
Student 50,student50@citchennai.net,password123,STUDENT,24MECH050,MECH
Student 51,student51@citchennai.net,password123,STUDENT,22IT051,IT
Student 52,student52@citchennai.net,password123,STUDENT,21MECH052,MECH
Student 53,student53@citchennai.net,password123,STUDENT,21EEE053,EEE
Student 54,student54@citchennai.net,password123,STUDENT,22IT054,IT
Student 55,student55@citchennai.net,password123,STUDENT,24CSE055,CSE
Student 56,student56@citchennai.net,password123,STUDENT,23ECE056,ECE
Student 57,student57@citchennai.net,password123,STUDENT,24BME057,BME
Student 58,student58@citchennai.net,password123,STUDENT,23EEE058,EEE
Student 59,student59@citchennai.net,password123,STUDENT,24EEE059,EEE
Student 60,student60@citchennai.net,password123,STUDENT,21ECE060,ECE
Student 61,student61@citchennai.net,password123,STUDENT,21EEE061,EEE
Student 62,student62@citchennai.net,password123,STUDENT,21ECE062,ECE
Student 63,student63@citchennai.net,password123,STUDENT,21CIVIL063,CIVIL
Student 64,student64@citchennai.net,password123,STUDENT,23MECH064,MECH
Student 65,student65@citchennai.net,password123,STUDENT,23AI-DS065,AI-DS
Student 66,student66@citchennai.net,password123,STUDENT,21BME066,BME
Student 67,student67@citchennai.net,password123,STUDENT,22CIVIL067,CIVIL
Student 68,student68@citchennai.net,password123,STUDENT,21MECH068,MECH
Student 69,student69@citchennai.net,password123,STUDENT,24MECH069,MECH
Student 70,student70@citchennai.net,password123,STUDENT,23EEE070,EEE
Student 71,student71@citchennai.net,password123,STUDENT,21ECE071,ECE
Student 72,student72@citchennai.net,password123,STUDENT,23BME072,BME
Student 73,student73@citchennai.net,password123,STUDENT,23EEE073,EEE
Student 74,student74@citchennai.net,password123,STUDENT,23EEE074,EEE
Student 75,student75@citchennai.net,password123,STUDENT,23CSE075,CSE
Student 76,student76@citchennai.net,password123,STUDENT,21MECH076,MECH
Student 77,student77@citchennai.net,password123,STUDENT,24AI-DS077,AI-DS
Student 78,student78@citchennai.net,password123,STUDENT,22AI-DS078,AI-DS
Student 79,student79@citchennai.net,password123,STUDENT,22AI-DS079,AI-DS
Student 80,student80@citchennai.net,password123,STUDENT,23IT080,IT
Student 81,student81@citchennai.net,password123,STUDENT,22EEE081,EEE
Student 82,student82@citchennai.net,password123,STUDENT,22BME082,BME
Student 83,student83@citchennai.net,password123,STUDENT,21AI-DS083,AI-DS
Student 84,student84@citchennai.net,password123,STUDENT,21ECE084,ECE
Student 85,student85@citchennai.net,password123,STUDENT,21ECE085,ECE
Student 86,student86@citchennai.net,password123,STUDENT,22MECH086,MECH
Student 87,student87@citchennai.net,password123,STUDENT,23EEE087,EEE
Student 88,student88@citchennai.net,password123,STUDENT,23MECH088,MECH
Student 89,student89@citchennai.net,password123,STUDENT,21BME089,BME
Student 90,student90@citchennai.net,password123,STUDENT,24CSE090,CSE
Student 91,student91@citchennai.net,password123,STUDENT,24AI-DS091,AI-DS
Student 92,student92@citchennai.net,password123,STUDENT,21MECH092,MECH
Student 93,student93@citchennai.net,password123,STUDENT,21EEE093,EEE
Student 94,student94@citchennai.net,password123,STUDENT,21CSE094,CSE
Student 95,student95@citchennai.net,password123,STUDENT,24AI-DS095,AI-DS
Student 96,student96@citchennai.net,password123,STUDENT,21AI-DS096,AI-DS
Student 97,student97@citchennai.net,password123,STUDENT,21IT097,IT
Student 98,student98@citchennai.net,password123,STUDENT,24CIVIL098,CIVIL
Student 99,student99@citchennai.net,password123,STUDENT,21MECH099,MECH
Student 100,student100@citchennai.net,password123,STUDENT,24AI-DS100,AI-DS
Student 101,student101@citchennai.net,password123,STUDENT,23EEE101,EEE
Student 102,student102@citchennai.net,password123,STUDENT,24IT102,IT
Student 103,student103@citchennai.net,password123,STUDENT,24IT103,IT
Student 104,student104@citchennai.net,password123,STUDENT,21AI-DS104,AI-DS
Student 105,student105@citchennai.net,password123,STUDENT,22CSE105,CSE
Student 106,student106@citchennai.net,password123,STUDENT,23EEE106,EEE
Student 107,student107@citchennai.net,password123,STUDENT,21EEE107,EEE
Student 108,student108@citchennai.net,password123,STUDENT,23CIVIL108,CIVIL
Student 109,student109@citchennai.net,password123,STUDENT,22CIVIL109,CIVIL
Student 110,student110@citchennai.net,password123,STUDENT,23AI-DS110,AI-DS
Student 111,student111@citchennai.net,password123,STUDENT,23EEE111,EEE
